"","stock","species","broodyear","recruits","spawners"
"295","Black Lake","Sockeye",1969,477876,366589
"296","Black Lake","Sockeye",1970,446677,536257
"297","Black Lake","Sockeye",1971,1382628,671668
"298","Black Lake","Sockeye",1972,912946,326320
"299","Black Lake","Sockeye",1973,1243249,538462.0188
"300","Black Lake","Sockeye",1974,630062,364602.9223
"301","Black Lake","Sockeye",1975,361222,326563
"302","Black Lake","Sockeye",1976,1242182,553754
"303","Black Lake","Sockeye",1977,2181469,364557.2167
"304","Black Lake","Sockeye",1978,1087180,419731.6671
"305","Black Lake","Sockeye",1979,3347748,491467.4483
"306","Black Lake","Sockeye",1980,1726619,369580.3608
"307","Black Lake","Sockeye",1981,1910700,570209.7109
"308","Black Lake","Sockeye",1982,2250486,616117
"309","Black Lake","Sockeye",1983,592496,426177.6558
"310","Black Lake","Sockeye",1984,714559,597712.782
"311","Black Lake","Sockeye",1985,796950,376578
"312","Black Lake","Sockeye",1986,2413019,557771.8391
"313","Black Lake","Sockeye",1987,1462800,589299.016
"314","Black Lake","Sockeye",1988,1642102,420579.8777
"315","Black Lake","Sockeye",1989,1682130,384000.6569
"316","Black Lake","Sockeye",1990,1485840,434550.1559
"317","Black Lake","Sockeye",1991,1571071,662659.9907
"318","Black Lake","Sockeye",1992,959175,360680.7056
"319","Black Lake","Sockeye",1993,941757,364261.197
"320","Black Lake","Sockeye",1994,2041288,769464.8943
"321","Black Lake","Sockeye",1995,2061129,366496
"322","Black Lake","Sockeye",1996,1646122,464747.6207
"323","Black Lake","Sockeye",1997,781887,396667.9395
"324","Black Lake","Sockeye",1998,886267,410659.1088
"325","Black Lake","Sockeye",1999,995314,457423.6073
"326","Black Lake","Sockeye",2000,1581985,536139
"327","Black Lake","Sockeye",2001,875274,744015
"328","Black Lake","Sockeye",2002,380223,384088
"329","Black Lake","Sockeye",2003,691348,350004
"330","Black Lake","Sockeye",2004,919790,363800
"331","Black Lake","Sockeye",2005,1505933,355091
"332","Black Lake","Sockeye",2006,3239001,366497
"333","Black Lake","Sockeye",2007,870603,361091
"334","Black Lake","Sockeye",2008,2547085,377579
"335","Black Lake","Sockeye",2009,404861,391476
"336","Black Lake","Sockeye",2010,1222204,432535
"454","Chignik Lake","Sockeye",1965,964356,163151
"455","Chignik Lake","Sockeye",1966,757841,183525
"456","Chignik Lake","Sockeye",1967,569183,189000
"457","Chignik Lake","Sockeye",1968,742221,244836
"458","Chignik Lake","Sockeye",1969,816987,132055
"459","Chignik Lake","Sockeye",1970,636440,119952
"460","Chignik Lake","Sockeye",1971,2279874,232501
"461","Chignik Lake","Sockeye",1972,1059132,231270
"462","Chignik Lake","Sockeye",1973,1184600,243728.9812
"463","Chignik Lake","Sockeye",1974,1022580,313343.0777
"464","Chignik Lake","Sockeye",1975,1495171,257675
"465","Chignik Lake","Sockeye",1976,1039396,276793
"466","Chignik Lake","Sockeye",1977,1408755,328915.7833
"467","Chignik Lake","Sockeye",1978,920712,262815.3329
"468","Chignik Lake","Sockeye",1979,881483,246318
"469","Chignik Lake","Sockeye",1980,934875,294480.6392
"470","Chignik Lake","Sockeye",1981,713689,261239.2891
"471","Chignik Lake","Sockeye",1982,929500,221611
"472","Chignik Lake","Sockeye",1983,1245680,428034.3442
"473","Chignik Lake","Sockeye",1984,1974465,268495
"474","Chignik Lake","Sockeye",1985,784548,369260
"475","Chignik Lake","Sockeye",1986,1242159,215547.1609
"476","Chignik Lake","Sockeye",1987,1757451,214443.984
"477","Chignik Lake","Sockeye",1988,664969,255177.1223
"478","Chignik Lake","Sockeye",1989,1630416,557174.3431
"479","Chignik Lake","Sockeye",1990,1011618,335859.8441
"480","Chignik Lake","Sockeye",1991,980550,377438.0093
"481","Chignik Lake","Sockeye",1992,1095978,403755.2944
"482","Chignik Lake","Sockeye",1993,1537372,333115.803
"483","Chignik Lake","Sockeye",1994,1263379,197444.1057
"484","Chignik Lake","Sockeye",1995,1326001,373424.7019
"485","Chignik Lake","Sockeye",1996,1389229,284389.3793
"486","Chignik Lake","Sockeye",1997,966238,378950.0605
"487","Chignik Lake","Sockeye",1998,512228,290468.8912
"488","Chignik Lake","Sockeye",1999,349904,258542.3927
"489","Chignik Lake","Sockeye",2000,1123572,269086
"490","Chignik Lake","Sockeye",2001,932346,392903
"491","Chignik Lake","Sockeye",2002,756062,341132
"492","Chignik Lake","Sockeye",2003,1008413,334119
"493","Chignik Lake","Sockeye",2004,1275621,214459
"494","Chignik Lake","Sockeye",2005,1013999,225366
"495","Chignik Lake","Sockeye",2006,1583233,368995.601
"496","Chignik Lake","Sockeye",2007,995847,293883
"497","Chignik Lake","Sockeye",2008,1040801,328479.0781
"498","Chignik Lake","Sockeye",2009,1274820,328585.7231
"499","Chignik Lake","Sockeye",2010,1163649,311376
"579","Chilkoot","Sockeye",1976,126595,71291
"580","Chilkoot","Sockeye",1977,294302,97368
"581","Chilkoot","Sockeye",1978,280273,35454
"582","Chilkoot","Sockeye",1979,347858,96122
"583","Chilkoot","Sockeye",1980,213671,98673
"584","Chilkoot","Sockeye",1981,276484,84407
"585","Chilkoot","Sockeye",1982,348922,103038
"586","Chilkoot","Sockeye",1983,421796,80141
"587","Chilkoot","Sockeye",1984,353047,100781
"588","Chilkoot","Sockeye",1985,229079,69141
"589","Chilkoot","Sockeye",1986,296614,88024
"590","Chilkoot","Sockeye",1987,234015,94208
"591","Chilkoot","Sockeye",1988,68419,81274
"592","Chilkoot","Sockeye",1989,52073,54900
"593","Chilkoot","Sockeye",1990,13495,76119
"594","Chilkoot","Sockeye",1991,75508,92375
"595","Chilkoot","Sockeye",1992,79773,77601
"596","Chilkoot","Sockeye",1993,16526,52080
"597","Chilkoot","Sockeye",1994,25815,37007
"598","Chilkoot","Sockeye",1995,51310,7177
"599","Chilkoot","Sockeye",1996,145979,50739
"600","Chilkoot","Sockeye",1997,90778,44254
"601","Chilkoot","Sockeye",1998,65633,12335
"602","Chilkoot","Sockeye",1999,178310,19284
"603","Chilkoot","Sockeye",2000,102277,43555
"604","Chilkoot","Sockeye",2001,220505,76283
"605","Chilkoot","Sockeye",2002,180281,58361
"606","Chilkoot","Sockeye",2003,50730,75065
"607","Chilkoot","Sockeye",2004,52915,77660
"608","Chilkoot","Sockeye",2005,119487,51178
"609","Chilkoot","Sockeye",2006,82826,96203
"610","Chilkoot","Sockeye",2007,255796,72678
"611","Chilkoot","Sockeye",2008,63900,33117
"612","Chilkoot","Sockeye",2009,177451,33705
"613","Chilkoot","Sockeye",2010,187509,71657
"614","Chilkoot","Sockeye",2011,207662,65915
"620","Coghill","Sockeye",1962,54520,26866
"621","Coghill","Sockeye",1963,63949,63984
"622","Coghill","Sockeye",1964,163130,22200
"623","Coghill","Sockeye",1965,77666,62500
"624","Coghill","Sockeye",1966,86158,82500
"625","Coghill","Sockeye",1967,153330,33000
"626","Coghill","Sockeye",1968,137506,11800
"627","Coghill","Sockeye",1969,91748,81000
"628","Coghill","Sockeye",1970,220866,35200
"629","Coghill","Sockeye",1971,46728,15000
"630","Coghill","Sockeye",1972,218568,51000
"631","Coghill","Sockeye",1973,233688,55000
"632","Coghill","Sockeye",1974,110824,22334
"633","Coghill","Sockeye",1975,191527,34855
"634","Coghill","Sockeye",1976,173529,9056
"635","Coghill","Sockeye",1977,1251046,31562
"636","Coghill","Sockeye",1978,70302,42284
"637","Coghill","Sockeye",1979,150406,48281
"638","Coghill","Sockeye",1980,473655,142253
"639","Coghill","Sockeye",1981,496237,156112
"640","Coghill","Sockeye",1982,612158,180314
"641","Coghill","Sockeye",1983,106297,38783
"642","Coghill","Sockeye",1984,203086,63622
"643","Coghill","Sockeye",1985,16596,163342
"644","Coghill","Sockeye",1986,26916,74135
"645","Coghill","Sockeye",1987,60051,187263
"646","Coghill","Sockeye",1988,50494,72023
"647","Coghill","Sockeye",1989,9410,36881
"648","Coghill","Sockeye",1990,26127,8250
"649","Coghill","Sockeye",1991,153809,9701
"650","Coghill","Sockeye",1992,114126,29642
"651","Coghill","Sockeye",1993,67465,9232
"652","Coghill","Sockeye",1994,27939,7264
"653","Coghill","Sockeye",1995,317508,30382
"654","Coghill","Sockeye",1996,133471,38693
"655","Coghill","Sockeye",1997,44736,35010
"656","Coghill","Sockeye",1998,89490,27050
"657","Coghill","Sockeye",1999,234805,59311
"658","Coghill","Sockeye",2000,138406,28446
"659","Coghill","Sockeye",2001,10471,38547
"660","Coghill","Sockeye",2002,180332,28323
"661","Coghill","Sockeye",2003,100769,75427
"662","Coghill","Sockeye",2004,151952,30569
"663","Coghill","Sockeye",2005,29949,30313
"664","Coghill","Sockeye",2006,166652,23479
"665","Coghill","Sockeye",2007,658406,70001
"666","Coghill","Sockeye",2008,72233,29298
"676","Copper","Sockeye",1961,1466172,343140.4275
"677","Copper","Sockeye",1962,752678,416093.1807
"678","Copper","Sockeye",1963,620325,271007.3531
"679","Copper","Sockeye",1964,1187838,233990.1993
"680","Copper","Sockeye",1965,1790507,373563.22
"681","Copper","Sockeye",1966,1492942,374673.1046
"682","Copper","Sockeye",1967,870446,152518.2057
"683","Copper","Sockeye",1968,844266,234701.7683
"684","Copper","Sockeye",1969,917046,527822.3726
"685","Copper","Sockeye",1970,492013,329729.4895
"686","Copper","Sockeye",1971,1095884,585402.0987
"687","Copper","Sockeye",1972,1040825,408348.7457
"688","Copper","Sockeye",1973,460408,432244.8939
"689","Copper","Sockeye",1974,660223,209834.4829
"690","Copper","Sockeye",1975,589226,172586.4332
"691","Copper","Sockeye",1976,1169831,248496.4691
"692","Copper","Sockeye",1977,1878510,357096.425
"693","Copper","Sockeye",1978,1405959,234393.7055
"694","Copper","Sockeye",1979,2083034,507703.1474
"695","Copper","Sockeye",1980,1455745,609245.6797
"696","Copper","Sockeye",1981,1123037,779344.0319
"697","Copper","Sockeye",1982,1942981,609259.1798
"698","Copper","Sockeye",1983,962643,689904.8681
"699","Copper","Sockeye",1984,1665949,837471.7362
"700","Copper","Sockeye",1985,1121383,644071.2164
"701","Copper","Sockeye",1986,1943552,512181.0056
"702","Copper","Sockeye",1987,1709543,505998.9939
"703","Copper","Sockeye",1988,1755011,495779.976
"704","Copper","Sockeye",1989,1982777,581067.3784
"705","Copper","Sockeye",1990,1657982,619668.0198
"706","Copper","Sockeye",1991,2878964,567389.9221
"707","Copper","Sockeye",1992,3102759,558331.0406
"708","Copper","Sockeye",1993,2303628,652721.1081
"709","Copper","Sockeye",1994,1452968,614989.2834
"710","Copper","Sockeye",1995,1638422,528715.4215
"711","Copper","Sockeye",1996,1916383,674836.3295
"712","Copper","Sockeye",1997,1596773,900332.7069
"713","Copper","Sockeye",1998,1911922,635380.7972
"714","Copper","Sockeye",1999,1586662,648887
"715","Copper","Sockeye",2000,2330999,537592
"716","Copper","Sockeye",2001,2204284,680513
"717","Copper","Sockeye",2002,2909184,732389
"718","Copper","Sockeye",2003,1292452,653564
"719","Copper","Sockeye",2004,1183051,586275
"720","Copper","Sockeye",2005,1266774,633006.3006
"721","Copper","Sockeye",2006,2395210,777091
"722","Copper","Sockeye",2007,3025008,786932
"723","Copper","Sockeye",2008,2237922,615240
"724","Copper","Sockeye",2009,3033238,605329
"725","Copper","Sockeye",2010,2697904.5,668184
"802","Early Karluk","Sockeye",1981,489387,97937
"803","Early Karluk","Sockeye",1982,386084,122705
"804","Early Karluk","Sockeye",1983,414005,215620
"805","Early Karluk","Sockeye",1984,261975,288422
"806","Early Karluk","Sockeye",1985,275777,316688
"807","Early Karluk","Sockeye",1986,431120,358756
"808","Early Karluk","Sockeye",1987,593814,354094
"809","Early Karluk","Sockeye",1988,433212,296510
"810","Early Karluk","Sockeye",1989,485915,349753
"811","Early Karluk","Sockeye",1990,473857,196197
"812","Early Karluk","Sockeye",1991,682576,243069
"813","Early Karluk","Sockeye",1992,241402,217152
"814","Early Karluk","Sockeye",1993,467752,261169
"815","Early Karluk","Sockeye",1994,628010,260771
"816","Early Karluk","Sockeye",1995,689063,238079
"817","Early Karluk","Sockeye",1996,607663,250357
"818","Early Karluk","Sockeye",1997,481083,252859
"819","Early Karluk","Sockeye",1998,854227,252298
"820","Early Karluk","Sockeye",1999,842566,392419
"821","Early Karluk","Sockeye",2000,510358,291351
"822","Early Karluk","Sockeye",2001,605011,338799
"823","Early Karluk","Sockeye",2002,171904,456842
"824","Early Karluk","Sockeye",2003,79221,451856
"825","Early Karluk","Sockeye",2004,71869,393468
"826","Early Karluk","Sockeye",2005,54007,283860
"827","Early Karluk","Sockeye",2006,81804,202366
"828","Early Karluk","Sockeye",2007,381997,294740
"829","Early Karluk","Sockeye",2008,414940,82191
"830","Early Karluk","Sockeye",2009,267030,52798
"831","Early Karluk","Sockeye",2010,397090,71453
"906","Early Upper Station","Sockeye",1969,30534,22509
"907","Early Upper Station","Sockeye",1970,11458,16168
"908","Early Upper Station","Sockeye",1971,25904,32529
"909","Early Upper Station","Sockeye",1972,39070,39613
"910","Early Upper Station","Sockeye",1973,53756,26892
"911","Early Upper Station","Sockeye",1974,93734,35319
"912","Early Upper Station","Sockeye",1975,32065,10325
"913","Early Upper Station","Sockeye",1976,94522,28567
"914","Early Upper Station","Sockeye",1977,211375,26380
"915","Early Upper Station","Sockeye",1978,154029,66157
"916","Early Upper Station","Sockeye",1979,102074,53115
"917","Early Upper Station","Sockeye",1980,33082,37866
"918","Early Upper Station","Sockeye",1981,119018,77042
"919","Early Upper Station","Sockeye",1982,249397,170610
"920","Early Upper Station","Sockeye",1983,150272,115890
"921","Early Upper Station","Sockeye",1984,68680,96798
"922","Early Upper Station","Sockeye",1985,166378,27408
"923","Early Upper Station","Sockeye",1986,186761,100812
"924","Early Upper Station","Sockeye",1987,66322,74747
"925","Early Upper Station","Sockeye",1988,47035,56724
"926","Early Upper Station","Sockeye",1989,129214,64582
"927","Early Upper Station","Sockeye",1990,120383,56159
"928","Early Upper Station","Sockeye",1991,294021,50026
"929","Early Upper Station","Sockeye",1992,52835,19076
"930","Early Upper Station","Sockeye",1993,61866,34852
"931","Early Upper Station","Sockeye",1994,119248,37645
"932","Early Upper Station","Sockeye",1995,155291,41492
"933","Early Upper Station","Sockeye",1996,184138,58686
"934","Early Upper Station","Sockeye",1997,26069,47655
"935","Early Upper Station","Sockeye",1998,69281,30713
"936","Early Upper Station","Sockeye",1999,192197,36521
"937","Early Upper Station","Sockeye",2000,254762,55761
"938","Early Upper Station","Sockeye",2001,51295,66795
"939","Early Upper Station","Sockeye",2002,19283,36802
"940","Early Upper Station","Sockeye",2003,71842,76175
"941","Early Upper Station","Sockeye",2004,110567,78487
"942","Early Upper Station","Sockeye",2005,66380,60349
"943","Early Upper Station","Sockeye",2006,48997,24997
"944","Early Upper Station","Sockeye",2007,57352,31895
"945","Early Upper Station","Sockeye",2008,48370,38800
"946","Early Upper Station","Sockeye",2009,49491,34585
"947","Early Upper Station","Sockeye",2010,62611,42060
"962","Egegik","Sockeye",1963,993867,997602
"963","Egegik","Sockeye",1964,1937879,849576
"964","Egegik","Sockeye",1965,2388481,1444608
"965","Egegik","Sockeye",1966,2058267,804246
"966","Egegik","Sockeye",1967,1631427,636864
"967","Egegik","Sockeye",1968,377054,338654
"968","Egegik","Sockeye",1969,2755725,1015554
"969","Egegik","Sockeye",1970,1202581,919734
"970","Egegik","Sockeye",1971,2700673,634014
"971","Egegik","Sockeye",1972,2909899,546402
"972","Egegik","Sockeye",1973,1451683,328842
"973","Egegik","Sockeye",1974,2441304,1275630
"974","Egegik","Sockeye",1975,3040165,1173840
"975","Egegik","Sockeye",1976,4480473,509160
"976","Egegik","Sockeye",1977,4167606,692514
"977","Egegik","Sockeye",1978,9914898,895698
"978","Egegik","Sockeye",1979,4039737,1032042
"979","Egegik","Sockeye",1980,8222415,1060860
"980","Egegik","Sockeye",1981,5441583,694680
"981","Egegik","Sockeye",1982,6435070,1034628
"982","Egegik","Sockeye",1983,10811627,792282
"983","Egegik","Sockeye",1984,11766351,1165345
"984","Egegik","Sockeye",1985,6382676,1095192
"985","Egegik","Sockeye",1986,14207128,1152180
"986","Egegik","Sockeye",1987,25731437,1273553
"987","Egegik","Sockeye",1988,19465135,1612745
"988","Egegik","Sockeye",1989,10134478,1611566
"989","Egegik","Sockeye",1990,16060313,2191582
"990","Egegik","Sockeye",1991,9948958,2786925
"991","Egegik","Sockeye",1992,8668640,1945632
"992","Egegik","Sockeye",1993,1936031,1517000
"993","Egegik","Sockeye",1994,7979474,1897977
"994","Egegik","Sockeye",1995,7522877,1266692
"995","Egegik","Sockeye",1996,4161322,1076460
"996","Egegik","Sockeye",1997,6063047,1104004
"997","Egegik","Sockeye",1998,1270504,1110938
"998","Egegik","Sockeye",1999,13004482,1728397
"999","Egegik","Sockeye",2000,12037952,1032138
"1000","Egegik","Sockeye",2001,4786174,968872
"1001","Egegik","Sockeye",2002,5292054,1036092
"1002","Egegik","Sockeye",2003,8800146,1152120
"1003","Egegik","Sockeye",2004,14138814,1290144
"1004","Egegik","Sockeye",2005,6185011,1621734
"1005","Egegik","Sockeye",2006,3573359,1465158
"1006","Egegik","Sockeye",2007,6440131,1432500
"1007","Egegik","Sockeye",2008,3830058,1259568
"1008","Egegik","Sockeye",2009,4505947,1146276
"1009","Egegik","Sockeye",2010,9645424,927054
"1010","Egegik","Sockeye",2011,8832872,961200
"1020","Eshamy","Sockeye",1964,276208.5,68129
"1024","Eshamy","Sockeye",1968,84330.75,68048
"1025","Eshamy","Sockeye",1969,32435,61196
"1026","Eshamy","Sockeye",1970,11690,11460
"1027","Eshamy","Sockeye",1971,6667,954
"1028","Eshamy","Sockeye",1972,59976,28683
"1029","Eshamy","Sockeye",1973,34411,10202
"1030","Eshamy","Sockeye",1974,15946,633
"1031","Eshamy","Sockeye",1975,31355,1724
"1032","Eshamy","Sockeye",1976,178061,19367
"1033","Eshamy","Sockeye",1977,38453,11746
"1034","Eshamy","Sockeye",1978,36904,12580
"1035","Eshamy","Sockeye",1979,39724,12169
"1036","Eshamy","Sockeye",1980,270623,44263
"1037","Eshamy","Sockeye",1981,31644.5,23048
"1040","Eshamy","Sockeye",1984,117484,36121
"1041","Eshamy","Sockeye",1985,58138,26178
"1042","Eshamy","Sockeye",1986,39946,6949
"1044","Eshamy","Sockeye",1988,93876,31747
"1045","Eshamy","Sockeye",1989,70390,57106
"1046","Eshamy","Sockeye",1990,58447,14191
"1047","Eshamy","Sockeye",1991,23930,45814
"1048","Eshamy","Sockeye",1992,24229.5,30627
"1049","Eshamy","Sockeye",1993,53536.5,34657
"1051","Eshamy","Sockeye",1995,28338.5,15292
"1052","Eshamy","Sockeye",1996,65804,5271
"1053","Eshamy","Sockeye",1997,64513,41299
"1055","Eshamy","Sockeye",1999,40521,27057
"1056","Eshamy","Sockeye",2000,51753,22153
"1057","Eshamy","Sockeye",2001,50750,55187
"1058","Eshamy","Sockeye",2002,62834,40478
"1059","Eshamy","Sockeye",2003,20147,39845
"1060","Eshamy","Sockeye",2004,53472,13443
"1061","Eshamy","Sockeye",2005,41611,23523
"1062","Eshamy","Sockeye",2006,62674,42473
"1083","Fennell","Sockeye",1963,6534,248
"1084","Fennell","Sockeye",1964,3637,67
"1087","Fennell","Sockeye",1967,15201,294
"1088","Fennell","Sockeye",1968,15037,577
"1089","Fennell","Sockeye",1969,881,22
"1090","Fennell","Sockeye",1970,740,5
"1091","Fennell","Sockeye",1971,16707,306
"1092","Fennell","Sockeye",1972,29007,1030
"1093","Fennell","Sockeye",1973,1106,83
"1094","Fennell","Sockeye",1974,586,70
"1095","Fennell","Sockeye",1975,62451,2181
"1096","Fennell","Sockeye",1976,22761,2373
"1097","Fennell","Sockeye",1977,10484,174
"1098","Fennell","Sockeye",1978,3600,46
"1099","Fennell","Sockeye",1979,18564,8046
"1100","Fennell","Sockeye",1980,36205,4413
"1101","Fennell","Sockeye",1981,3947,1067
"1102","Fennell","Sockeye",1982,11140,656
"1103","Fennell","Sockeye",1983,39122,2596
"1104","Fennell","Sockeye",1984,49644,6291
"1105","Fennell","Sockeye",1985,34171,696
"1106","Fennell","Sockeye",1986,35411,3323
"1107","Fennell","Sockeye",1987,78650,9212
"1108","Fennell","Sockeye",1988,50650,13209
"1109","Fennell","Sockeye",1989,19804,2813
"1110","Fennell","Sockeye",1990,22995,6702
"1111","Fennell","Sockeye",1991,14854,11945
"1112","Fennell","Sockeye",1992,50629,6103
"1113","Fennell","Sockeye",1993,43315,5030
"1114","Fennell","Sockeye",1994,14061,3515
"1115","Fennell","Sockeye",1995,37010,5988
"1116","Fennell","Sockeye",1996,13827,15409
"1117","Fennell","Sockeye",1997,6261,4379
"1118","Fennell","Sockeye",1998,13140,4972
"1119","Fennell","Sockeye",1999,43525,3341
"1120","Fennell","Sockeye",2000,60597,4796
"1122","Fennell","Sockeye",2002,76212,4936
"1123","Fennell","Sockeye",2003,13693,5317
"1124","Fennell","Sockeye",2004,7677,1594
"1125","Fennell","Sockeye",2005,2785,2817
"1126","Fennell","Sockeye",2006,31124,8278
"1127","Fennell","Sockeye",2007,6202,6900
"1128","Fennell","Sockeye",2008,8578,210
"1129","Fennell","Sockeye",2009,8626,715
"1130","Fennell","Sockeye",2010,27500,5564
"1131","Fennell","Sockeye",2011,1903,4498
"1136","Frazer","Sockeye",1966,39908,16456
"1137","Frazer","Sockeye",1967,95199,21834
"1138","Frazer","Sockeye",1968,57908,16738
"1139","Frazer","Sockeye",1969,65980,14041
"1140","Frazer","Sockeye",1970,104002,24039
"1141","Frazer","Sockeye",1971,121416,55366
"1142","Frazer","Sockeye",1972,194063,66419
"1143","Frazer","Sockeye",1973,61411,56255
"1144","Frazer","Sockeye",1974,209021,82609
"1145","Frazer","Sockeye",1975,299627,64199
"1146","Frazer","Sockeye",1976,709420,119321
"1147","Frazer","Sockeye",1977,425463,139548
"1148","Frazer","Sockeye",1978,235038,141981
"1149","Frazer","Sockeye",1979,59102,126742
"1150","Frazer","Sockeye",1980,761260,405535
"1151","Frazer","Sockeye",1981,29466,377716
"1152","Frazer","Sockeye",1982,80167,430423
"1153","Frazer","Sockeye",1983,1038090,158340
"1154","Frazer","Sockeye",1984,503853,53524
"1155","Frazer","Sockeye",1985,160409,485835
"1156","Frazer","Sockeye",1986,2227028,126529
"1157","Frazer","Sockeye",1987,385697,40544
"1158","Frazer","Sockeye",1988,364648,246704
"1159","Frazer","Sockeye",1989,1375540,360373
"1160","Frazer","Sockeye",1990,704000,226707
"1161","Frazer","Sockeye",1991,498969,190358
"1162","Frazer","Sockeye",1992,551818,185825
"1163","Frazer","Sockeye",1993,497342,178391
"1164","Frazer","Sockeye",1994,305308,206071
"1165","Frazer","Sockeye",1995,609327,196323
"1166","Frazer","Sockeye",1996,255255,198695
"1167","Frazer","Sockeye",1997,59582,205264
"1168","Frazer","Sockeye",1998,358368,233755
