stock.id,species,stock.name,lat,lon,ocean.basin,state,begin,end,n.years,max.spawners,max.recruits,source,url,comments
34,Sockeye,Birkenhead-Sockeye,49.12,-123.06,WC,BC,1948,2015,68,197841,1816442,"Eric Taylor, Pacific Salmon Commission, 2022",NA,NA
35,Sockeye,Cultus-Sockeye,49.12,-123.06,WC,BC,1948,2015,68,48461,281084,"Eric Taylor, Pacific Salmon Commission, 2022",NA,NA
36,Sockeye,Portage-Sockeye,49.12,-123.06,WC,BC,1951,2015,62,26699,210984,"Eric Taylor, Pacific Salmon Commission, 2022",NA,NA
37,Sockeye,Weaver-Sockeye,49.12,-123.06,WC,BC,1966,2015,50,115030,1505995,"Eric Taylor, Pacific Salmon Commission, 2022",NA,NA
38,Sockeye,North Barriere-Sockeye,49.12,-123.06,WC,BC,1958,2015,53,15409,78650,"Eric Taylor, Pacific Salmon Commission, 2022",NA,NA
39,Sockeye,Scotch-Sockeye,49.12,-123.06,WC,BC,1948,2015,53,273905,1029951,"Eric Taylor, Pacific Salmon Commission, 2022",NA,NA
40,Sockeye,Gates-Sockeye,49.12,-123.06,WC,BC,1952,2015,64,26445,319543,"Eric Taylor, Pacific Salmon Commission, 2022",NA,NA
41,Sockeye,Nadina-Sockeye,49.12,-123.06,WC,BC,1973,2015,43,67127,546597,"Eric Taylor, Pacific Salmon Commission, 2022",NA,NA
42,Sockeye,Pitt-Sockeye,49.12,-123.06,WC,BC,1948,2015,68,74627,221710,"Eric Taylor, Pacific Salmon Commission, 2022",NA,NA
43,Sockeye,Harrison-Sockeye,49.12,-123.06,WC,BC,1948,2015,68,399661,1638948,"Eric Taylor, Pacific Salmon Commission, 2022",NA,NA
44,Sockeye,Misc. Early Shuswap-Sockeye,49.12,-123.06,WC,BC,2004,2015,12,119591,817957,"Eric Taylor, Pacific Salmon Commission, 2022",NA,NA
45,Sockeye,Misc. Taseko-Sockeye,49.12,-123.06,WC,BC,2013,2015,3,482,754,"Eric Taylor, Pacific Salmon Commission, 2022",NA,NA
46,Sockeye,Misc. Chilliwack-Sockeye,49.12,-123.06,WC,BC,2004,2015,12,78823,200093,"Eric Taylor, Pacific Salmon Commission, 2022",NA,NA
47,Sockeye,Misc. Nahatlatch-Sockeye,49.12,-123.06,WC,BC,2003,2015,13,3455,17136,"Eric Taylor, Pacific Salmon Commission, 2022",NA,NA
48,Sockeye,Misc. N. Thompson Main.-Sockeye,49.12,-123.06,WC,BC,2004,2015,12,47725,135777,"Eric Taylor, Pacific Salmon Commission, 2022",NA,NA
49,Sockeye,Misc. N. Thompson Tribs.-Sockeye,49.12,-123.06,WC,BC,2004,2015,12,2406,6166,"Eric Taylor, Pacific Salmon Commission, 2022",NA,NA
50,Sockeye,Misc. Widgeon-Sockeye,49.12,-123.06,WC,BC,2014,2015,2,146,258,"Eric Taylor, Pacific Salmon Commission, 2022",NA,NA
51,Sockeye,Misc. Harrison/Lillooet-Sockeye,49.12,-123.06,WC,BC,2004,2015,12,11332,32253,"Eric Taylor, Pacific Salmon Commission, 2022",NA,NA
52,Sockeye,Alastair-Sockeye,54.2237,-129.831,WC,BC,1960,2013,54,79009.10232,72901.12274,"Charmaine Carr-Harris, DFO, 2022",NA,Used filtered data - R/S >45 were removed
53,Sockeye,Asitka-Sockeye,54.2237,-129.831,WC,BC,2003,2014,11,4831.71143,4046.067786,"Charmaine Carr-Harris, DFO, 2022",NA,Used filtered data - R/S >45 were removed
54,Sockeye,Babine Early Wild-Sockeye,54.2237,-129.831,WC,BC,1960,2014,55,232802.4918,620769.866,"Charmaine Carr-Harris, DFO, 2022",NA,Used filtered data - R/S >45 were removed
55,Sockeye,Babine Late Wild-Sockeye,54.2237,-129.831,WC,BC,1960,2014,55,623637.3576,2134103.256,"Charmaine Carr-Harris, DFO, 2022",NA,Used filtered data - R/S >45 were removed
56,Sockeye,Babine Mid Wild-Sockeye,54.2237,-129.831,WC,BC,1960,2014,55,83150.74848,174897.7479,"Charmaine Carr-Harris, DFO, 2022",NA,Used filtered data - R/S >45 were removed
57,Sockeye,Bear-Skeena-Sockeye,54.2237,-129.831,WC,BC,1960,2014,36,19509.68765,39154.53545,"Charmaine Carr-Harris, DFO, 2022",NA,Used filtered data - R/S >45 were removed
58,Sockeye,Damdochax-Sockeye,54.9898,-130.02,WC,BC,1982,2010,29,15000,35217.55901,"Charmaine Carr-Harris, DFO, 2022",NA,Used filtered data - R/S >45 were removed
59,Sockeye,Fulton-Sockeye,54.2237,-129.831,WC,BC,1960,2014,55,586507.5059,5285918.264,"Charmaine Carr-Harris, DFO, 2022",NA,Used filtered data - R/S >45 were removed
60,Sockeye,Johnston-Sockeye,54.2237,-129.831,WC,BC,1967,1997,9,15000,24116.55645,"Charmaine Carr-Harris, DFO, 2022",NA,Used filtered data - R/S >45 were removed
61,Sockeye,Kitsumkalum-Sockeye,54.2237,-129.831,WC,BC,1960,2012,46,49811.45164,59531.17452,"Charmaine Carr-Harris, DFO, 2022",NA,Used filtered data - R/S >45 were removed
62,Sockeye,Kitwanga-Sockeye,54.2237,-129.831,WC,BC,1960,2014,17,20804,23405.87238,"Charmaine Carr-Harris, DFO, 2022",NA,Used filtered data - R/S >45 were removed
63,Sockeye,Kwinageese-Sockeye,54.9898,-130.02,WC,BC,1982,2013,19,25000,96137.48387,"Charmaine Carr-Harris, DFO, 2022",NA,Used filtered data - R/S >45 were removed
64,Sockeye,Lakelse-Sockeye,54.2237,-129.831,WC,BC,1960,2014,49,87710.20863,90601.1786,"Charmaine Carr-Harris, DFO, 2022",NA,Used filtered data - R/S >45 were removed
65,Sockeye,Lower Nass Sea & River Type-Sockeye,54.9898,-130.02,WC,BC,1982,2015,34,54927.00841,120276.3005,"Charmaine Carr-Harris, DFO, 2022",NA,Used filtered data - R/S >45 were removed
66,Sockeye,Mcdonell-Sockeye,54.2237,-129.831,WC,BC,1960,2014,35,10000,20797.85646,"Charmaine Carr-Harris, DFO, 2022",NA,Used filtered data - R/S >45 were removed
67,Sockeye,Morice-Sockeye,54.2237,-129.831,WC,BC,1960,2013,50,47501.36194,117622.9381,"Charmaine Carr-Harris, DFO, 2022",NA,Used filtered data - R/S >45 were removed
68,Sockeye,Motase-Sockeye,54.2237,-129.831,WC,BC,1987,2014,16,2059.428571,1814.281804,"Charmaine Carr-Harris, DFO, 2022",NA,Used filtered data - R/S >45 were removed
69,Sockeye,Pinkut-Sockeye,54.2237,-129.831,WC,BC,1960,2014,55,302165.9726,2073561.228,"Charmaine Carr-Harris, DFO, 2022",NA,Used filtered data - R/S >45 were removed
70,Sockeye,Slamgeesh-Sockeye,54.2237,-129.831,WC,BC,2000,2013,14,949,1555.410714,"Charmaine Carr-Harris, DFO, 2022",NA,Used filtered data - R/S >45 were removed
71,Sockeye,Sustut-Sockeye,54.2237,-129.831,WC,BC,1960,2013,25,4992,8695.617291,"Charmaine Carr-Harris, DFO, 2022",NA,Used filtered data - R/S >45 were removed
72,Sockeye,Swan/Stephens-Sockeye,54.2237,-129.831,WC,BC,1960,2014,45,82285.3775,142844.4594,"Charmaine Carr-Harris, DFO, 2022",NA,Used filtered data - R/S >45 were removed
73,Sockeye,Upper Nass River Type-Sockeye,54.9898,-130.02,WC,BC,2003,2013,4,1240,1306.07727,"Charmaine Carr-Harris, DFO, 2022",NA,Used filtered data - R/S >45 were removed
74,Sockeye,Igushik-Sockeye,57.5,-157.6,BS,AK,1963,2014,52,1987530,2810903.35,"Curry Cunningham, U. of Alaska Fairbanks, 2023",NA,NA
75,Sockeye,Wood-Sockeye,58.25,-157.38,BS,AK,1963,2014,52,4008102,24560850.02,"Curry Cunningham, U. of Alaska Fairbanks, 2023",NA,NA
76,Sockeye,Nushagak-Sockeye,58.78,-157.08,BS,AK,1963,2014,52,3669136.414,11990241.58,"Curry Cunningham, U. of Alaska Fairbanks, 2023",NA,NA
77,Sockeye,Kvichak-Sockeye,58.85,-158.5,BS,AK,1963,2014,52,24325926,45820688.66,"Curry Cunningham, U. of Alaska Fairbanks, 2023",NA,NA
78,Sockeye,Alagnak-Sockeye,58.85,-157.03,BS,AK,1963,2014,52,5396592,9751334.599,"Curry Cunningham, U. of Alaska Fairbanks, 2023",NA,NA
79,Sockeye,Naknek-Sockeye,58.82,-158.49,BS,AK,1963,2014,52,3578508,12744733.85,"Curry Cunningham, U. of Alaska Fairbanks, 2023",NA,NA
80,Sockeye,Egegik-Sockeye,58.82,-158.62,BS,AK,1963,2014,52,2786925,25731443.1,"Curry Cunningham, U. of Alaska Fairbanks, 2023",NA,NA
81,Sockeye,Ugashik-Sockeye,58.68,-158.8,BS,AK,1963,2014,52,3335284,8062936.542,"Curry Cunningham, U. of Alaska Fairbanks, 2023",NA,NA
82,Chum,Willapa Bay-Chum,46.3733,123.9575,WC,WA,1968,2005,38,84021,250649,"Jeff Haymes, Washington Department of Fish and Wildlife, Olympia, WA",NA,
83,Chum,Grays Harbour-Chum,46.95083,124.0497,WC,WA,1969,2005,35,62175,193488,"Jeff Haymes, Washington Department of Fish and Wildlife, Olympia, WA",NA,
84,Chum,S Sound Summer-Chum,47.042,122.835,WC,WA,1968,2004,37,120782,202160,"Jeff Haymes, Washington Department of Fish and Wildlife, Olympia, WA",NA,
85,Chum,S Sound Fall-Chum,47.042,122.835,WC,WA,1968,2005,38,367456,1113891,"Jeff Haymes, Washington Department of Fish and Wildlife, Olympia, WA",NA,
86,Chum,S Sound Winter-Chum,47.042,122.835,WC,WA,1968,2005,38,187999,350438,"Jeff Haymes, Washington Department of Fish and Wildlife, Olympia, WA",NA,
87,Chum,Hood Canal-Chum,47.5644,122.9956,WC,WA,1968,2005,38,251803,638817,"Jeff Haymes, Washington Department of Fish and Wildlife, Olympia, WA",NA,
88,Chum,Port Susan-Chum,48.23861,122.3758,WC,WA,1968,2005,38,370502,654809,"Jeff Haymes, Washington Department of Fish and Wildlife, Olympia, WA",NA,Sum of Stillaguamish and Snohomish stocks
89,Chum,Skagit-Chum,48.3875,122.3656,WC,WA,1968,2005,38,209478,432486,"Jeff Haymes, Washington Department of Fish and Wildlife, Olympia, WA",NA,
90,Chum,Bellingham-Chum,48.775,122.5978,WC,WA,1968,2005,38,104127,175641,"Jeff Haymes, Washington Department of Fish and Wildlife, Olympia, WA",NA,Sum of Nooksack and Samish stocks
91,Chum,Fraser-Chum,49.12333,123.0569,WC,BC,1959,1992,33,1295255,2040923.63,"Ryall, P., C. Murray, V. Palermo, D. Bailey, and D. Chen. 1999. Status of Clockwork Chum Salmon Stock and Review of the Clockwork Management Strategy. Technical report, Canadian Department of Fisheries and Oceans, Canadian Stock Assessment Secretariat Research Document 99/169",NA,
92,Chum,BC South (no Fraser)-Chum,50.28778,125.2008,WC,BC,1953,2002,50,2106443,3070728,"Pieter Van Will, Fisheries and Oceans Canada (DFO), Port Hardy, BC; Van Will, P., R. Brahniuk, L. Hop Wo, and G. Pestal. 2009. Certification Unit Profile: Inner South Coast Chum Salmon (Excluding Fraser River). Technical report, Canadian Manuscript Report of Fisheries and Aquatic Sciences 2876",NA,"Statistical Areas 11-17, 28A, 28B, 29B"
93,Chum,Area 10-Chum,51.28722,127.6819,WC,BC,1980,2006,27,116347,152308.0141,"David Peacock, Fisheries and Oceans Canada (DFO), Prince Rupert, BC; English, K., T. Mochizuki, and D. Robichaud. 2011. Review of North and Central Coast Salmon Indicator Streams and Estimating Escapement, Catch and Run Size for each Salmon Conservation Unit. Technical report, LGL Limited",NA,
94,Chum,Area 9-Chum,51.46556,127.7422,WC,BC,1980,2006,27,307781,473200.6756,"David Peacock, Fisheries and Oceans Canada (DFO), Prince Rupert, BC; English, K., T. Mochizuki, and D. Robichaud. 2011. Review of North and Central Coast Salmon Indicator Streams and Estimating Escapement, Catch and Run Size for each Salmon Conservation Unit. Technical report, LGL Limited",NA,
95,Chum,Area 8-Chum,51.62194,127.8289,WC,BC,1980,2006,27,924959,1951049.108,"David Peacock, Fisheries and Oceans Canada (DFO), Prince Rupert, BC; English, K., T. Mochizuki, and D. Robichaud. 2011. Review of North and Central Coast Salmon Indicator Streams and Estimating Escapement, Catch and Run Size for each Salmon Conservation Unit. Technical report, LGL Limited",NA,
96,Chum,Area 7-Chum,52.12916,128.380149,WC,BC,1980,2006,27,546200,840036.064,"David Peacock, Fisheries and Oceans Canada (DFO), Prince Rupert, BC; English, K., T. Mochizuki, and D. Robichaud. 2011. Review of North and Central Coast Salmon Indicator Streams and Estimating Escapement, Catch and Run Size for each Salmon Conservation Unit. Technical report, LGL Limited",NA,
97,Chum,Area 6-Chum,53.08889,129.1992,WC,BC,1980,2006,27,739347,1355374.895,"David Peacock, Fisheries and Oceans Canada (DFO), Prince Rupert, BC; English, K., T. Mochizuki, and D. Robichaud. 2011. Review of North and Central Coast Salmon Indicator Streams and Estimating Escapement, Catch and Run Size for each Salmon Conservation Unit. Technical report, LGL Limited",NA,
98,Chum,Area 5-Chum,53.66302,130.423874,WC,BC,1982,2006,25,30428,50473.29345,"David Peacock, Fisheries and Oceans Canada (DFO), Prince Rupert, BC; English, K., T. Mochizuki, and D. Robichaud. 2011. Review of North and Central Coast Salmon Indicator Streams and Estimating Escapement, Catch and Run Size for each Salmon Conservation Unit. Technical report, LGL Limited",NA,
99,Chum,Area 4-Chum,54.247243,130.477433,WC,BC,1982,2006,25,185447,365155.4342,"David Peacock, Fisheries and Oceans Canada (DFO), Prince Rupert, BC; English, K., T. Mochizuki, and D. Robichaud. 2011. Review of North and Central Coast Salmon Indicator Streams and Estimating Escapement, Catch and Run Size for each Salmon Conservation Unit. Technical report, LGL Limited",NA,
100,Chum,Area 3-Chum,54.676678,130.502152,WC,BC,1982,2006,25,245592,472071.6747,"David Peacock, Fisheries and Oceans Canada (DFO), Prince Rupert, BC; English, K., T. Mochizuki, and D. Robichaud. 2011. Review of North and Central Coast Salmon Indicator Streams and Estimating Escapement, Catch and Run Size for each Salmon Conservation Unit. Technical report, LGL Limited",NA,
101,Chum,Area 2W-Chum,52.988408,132.411026,WC,BC,1980,2006,27,216288,252221.0608,"David Peacock, Fisheries and Oceans Canada (DFO), Prince Rupert, BC; English, K., T. Mochizuki, and D. Robichaud. 2011. Review of North and Central Coast Salmon Indicator Streams and Estimating Escapement, Catch and Run Size for each Salmon Conservation Unit. Technical report, LGL Limited",NA,
102,Chum,Area 2E-Chum,53.0175,131.5778,WC,BC,1980,2006,27,485292,1137018.507,"David Peacock, Fisheries and Oceans Canada (DFO), Prince Rupert, BC; English, K., T. Mochizuki, and D. Robichaud. 2011. Review of North and Central Coast Salmon Indicator Streams and Estimating Escapement, Catch and Run Size for each Salmon Conservation Unit. Technical report, LGL Limited",NA,
103,Chum,Area 1-Chum,54.071771,132.204764,WC,BC,1980,2006,27,128360,234316.9817,"David Peacock, Fisheries and Oceans Canada (DFO), Prince Rupert, BC; English, K., T. Mochizuki, and D. Robichaud. 2011. Review of North and Central Coast Salmon Indicator Streams and Estimating Escapement, Catch and Run Size for each Salmon Conservation Unit. Technical report, LGL Limited",NA,
104,Chum,Kadashan-Chum,57.575,134.75,WC,AK,1969,1984,16,64928,214105,"Steve Heinl, Alaska Department of Fish and Game (ADFG), Ketchikan, AK",NA,
105,Chum,Chilkat-Chum,59.201231,135.466669,WC,AK,1994,2005,12,310000,672333.8177,"Steve Heinl, Alaska Department of Fish and Game (ADFG), Ketchikan, AK",NA,
106,Chum,East Alsek-Chum,59.434,139.547,WC,AK,1960,1987,21,40000,60214,"Steve Heinl, Alaska Department of Fish and Game (ADFG), Ketchikan, AK",NA,
107,Chum,PWS-Chum,60.5,147,GOA,AK,1965,2004,40,491270,4645827,"Botz, J., G. Hollowell, T. Sheridan, R. Brenner, and S. Moffitt. 2012. 2010 Prince William Sound Area Finfish Management Report. Technical report, Fishery Management Report No. 12-06, Alaska Department of Fish and Game",NA,
108,Chum,Kamishak-Chum,59.27,154.1175,GOA,AK,1971,2006,34,196900,361995,"Ted Otis, Alaska Department of Fish and Game (ADFG), Homer, AK; Hollowell, G., T. Otis, and E. Ford. 2012. 2011 Lower Cook Inlet area finfish management report. Technical report, Fishery Management Report No. 12-30, Alaska Department of Fish and Game",NA,
109,Chum,Outer CIn-Chum,59.38389,150.7528,GOA,AK,1970,2006,37,64200,285493,"Ted Otis, Alaska Department of Fish and Game (ADFG), Homer, AK; Hollowell, G., T. Otis, and E. Ford. 2012. 2011 Lower Cook Inlet area finfish management report. Technical report, Fishery Management Report No. 12-30, Alaska Department of Fish and Game",NA,
110,Chum,S CIn-Chum,59.52528,151.48,GOA,AK,1970,2006,37,11400,25720,"Ted Otis, Alaska Department of Fish and Game (ADFG), Homer, AK; Hollowell, G., T. Otis, and E. Ford. 2012. 2011 Lower Cook Inlet area finfish management report. Technical report, Fishery Management Report No. 12-30, Alaska Department of Fish and Game",NA,
111,Chum,Upper CIn-Chum,61.271,150.576,GOA,AK,1971,2008,35,34100,55283,"Patrick Shields, Alaska Department of Fish and Game (ADFG), Soldotna, AK",NA,
112,Chum,Alitak-Chum,56.88528,154.1217,GOA,AK,1978,2007,30,121900,225103,"Matt Foster, Alaska Department of Fish and Game (ADFG), Kodiak, AK",NA,
113,Chum,E Kod-Chum,57.089858,153.187928,GOA,AK,1978,2007,30,328700,574595,"Matt Foster, Alaska Department of Fish and Game (ADFG), Kodiak, AK",NA,
114,Chum,SW Kod-Chum,57.264508,154.613211,GOA,AK,1978,2007,30,160339,151012,"Matt Foster, Alaska Department of Fish and Game (ADFG), Kodiak, AK",NA,
115,Chum,NE Kod-Chum,57.77889,152.3592,GOA,AK,1978,2007,30,50715,103181,"Matt Foster, Alaska Department of Fish and Game (ADFG), Kodiak, AK",NA,
116,Chum,NW Kod-Chum,57.856839,153.882906,GOA,AK,1978,2007,30,417100,729033,"Matt Foster, Alaska Department of Fish and Game (ADFG), Kodiak, AK",NA,
117,Chum,Mainland Kod-Chum,58.03333,154.6644,GOA,AK,1978,2007,30,453148,769158,"Matt Foster, Alaska Department of Fish and Game (ADFG), Kodiak, AK",NA,
118,Chum,Perryville-Chum,55.85417,159.3314,GOA,AK,1962,2007,46,343200,431794,"Charles Russell, Alaska Department of Fish and Game (ADFG), Kodiak, AK; Owen, D. and D. Sarafin. 1999. Chignik Management Area Annual Finfish Management Report, 1996. Technical report, Regional Information Report No. 4K99-33, Alaska Department of Fish and Game ",NA,
119,Chum,W Chig-Chum,56.06667,158.6756,GOA,AK,1962,2007,46,184100,361600,"Charles Russell, Alaska Department of Fish and Game (ADFG), Kodiak, AK; Owen, D. and D. Sarafin. 1999. Chignik Management Area Annual Finfish Management Report, 1996. Technical report, Regional Information Report No. 4K99-33, Alaska Department of Fish and Game ",NA,
120,Chum,Central Chig-Chum,56.59639,157.9933,GOA,AK,1962,2007,46,173100,243501,"Charles Russell, Alaska Department of Fish and Game (ADFG), Kodiak, AK; Owen, D. and D. Sarafin. 1999. Chignik Management Area Annual Finfish Management Report, 1996. Technical report, Regional Information Report No. 4K99-33, Alaska Department of Fish and Game ",NA,
121,Chum,E Chig-Chum,56.98528,156.5806,GOA,AK,1962,2007,46,406900,457811,"Charles Russell, Alaska Department of Fish and Game (ADFG), Kodiak, AK; Owen, D. and D. Sarafin. 1999. Chignik Management Area Annual Finfish Management Report, 1996. Technical report, Regional Information Report No. 4K99-33, Alaska Department of Fish and Game ",NA,
122,Chum,SW-Unimak-Chum,54.5,163.5,BS,AK,1962,2007,46,401650,1272981,"Matt Foster, Alaska Department of Fish and Game (ADFG), Kodiak, AK",NA,Sum of Southwestern and Unimak Districts
123,Chum,W-NW AKPen-Chum,54.982,163.37,BS,AK,1962,2007,46,320000,337627,"Matt Foster, Alaska Department of Fish and Game (ADFG), Kodiak, AK",NA,"Sum of Dublin, Bechevin & Urilia Bays, Swanson Lagoon"
124,Chum,E-NW AKPen-Chum,55.3158,162.845,BS,AK,1962,2007,46,427500,646716,"Matt Foster, Alaska Department of Fish and Game (ADFG), Kodiak, AK",NA,Sum of Izembek and Moffet Bay
125,Chum,SE-SC AKPen-Chum,55.5,161,BS,AK,1962,2007,46,648200,1278872,"Matt Foster, Alaska Department of Fish and Game (ADFG), Kodiak, AK",NA,Sum of Southeastern and Southcentral Districts
126,Chum,N AKPen-Chum,56.46,159.68,BS,AK,1962,2007,46,436400,1023568,"Matt Foster, Alaska Department of Fish and Game (ADFG), Kodiak, AK",NA,
127,Chum,Nushagak-Chum,58.622,158.591,BS,AK,1980,2005,25,969000,2004184.829,NA,NA,
128,Chum,Togiak-Chum,58.925,160.446,BS,AK,1978,1991,14,415000,1130702.381,NA,NA,
